Ctrl_cell_T0-1	Ctrl_cell_T0-2	Ctrl_cell_T2h-1	Ctrl_cell_T2h-2	L-Cyc_cell_T0-1	L-Cyc_cell_T0-2	L-Cyc_cell_T2h-1	L-Cyc_cell_T2h-2
	1.0	1.0	1.0	1.0			1.0
	0.0	0.0	0.0	0.0			0.0
	0.0	0.0	0.0	0.0			0.0
	0.0	0.0	0.0	0.0			0.0
	0.0	0.0	0.0	0.0			0.0
	0.0	0.0	0.0	0.0			0.0
	0.0	0.0	0.0	0.0			0.0
1.0	1.0	1.0	0.9979	1.0	1.0		1.0
0.0	0.0	0.0	0.0	0.0	0.0		0.0
0.0	0.0	0.0	0.0043	0.0	0.0		0.0009
0.0004	0.0	0.0006	0.0	0.0	0.0		0.0013
0.0003	0.0003	0.0004	0.0004	0.0003	0.0005		0.0003
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9766	0.9971	0.9849	0.9935	0.9847	0.9859	0.9909	0.989
0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0221	0.0079	0.017	0.0096	0.0211	0.0161	0.0165	0.0155
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0
0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0007
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.9914	0.9867	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
0.0055	0.0069	0.0228	0.0247	0.0	0.0006	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
							
							
							
							
							
0.9863	0.9866	0.745	0.7303	0.982	0.9831	0.7523	0.7437
0.0004	0.0	0.0716	0.0701	0.0014	0.0021	0.0635	0.063
0.0117	0.0131	0.1214	0.1303	0.0159	0.0141	0.1137	0.1193
0.0016	0.0008	0.055	0.0573	0.0004	0.0008	0.0589	0.0596
0.0	0.0001	0.007	0.012	0.0003	0.0	0.0117	0.0143
0.9491	0.9486	0.5577	0.5714	0.9508	0.9458	0.5577	0.5556
0.0103	0.0095	0.0737	0.0687	0.0084	0.0109	0.0715	0.0688
0.0399	0.0409	0.2485	0.2455	0.0387	0.0408	0.2477	0.2507
0.0	0.0004	0.0619	0.057	0.0006	0.001	0.0628	0.0625
0.0008	0.0006	0.0487	0.0477	0.0015	0.0015	0.0508	0.0506
0.0	0.0	0.0094	0.0096	0.0	0.0	0.0095	0.0118
1.0	1.0	0.7483	0.7005	0.997	0.9986	0.7153	0.6673
0.0	0.0	0.0347	0.0402	0.0	0.0	0.0424	0.0526
0.01	0.0104	0.1482	0.1693	0.009	0.0104	0.1757	0.1919
0.0	0.0	0.0371	0.049	0.0	0.0	0.0363	0.043
0.0	0.0	0.0263	0.0341	0.0	0.0	0.0268	0.0374
0.0	0.0	0.0053	0.007	0.0	0.0	0.0034	0.0078
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0115	0.0121	0.0122	0.0117	0.012	0.012	0.0116	0.0113
0.9885	0.9879	0.9878	0.9883	0.988	0.988	0.9884	0.9887
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0015	0.0004	0.0006	0.001	0.0006	0.0009	0.0018	0.0008
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	0.9888	0.9822	1.0	1.0	0.9925	0.9874
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	0.0012	0.0086	0.0123	0.0009	0.0009	0.0067	0.0097
0.0001	0.0001	0.0033	0.0049	0.0002	0.0001	0.003	0.0038
0.0005	0.0005	0.0013	0.0019	0.0002	0.0003	0.0015	0.0013
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.9717	0.9719	0.9461	0.95	0.9813	0.9779	0.9602	0.9617
0.0296	0.0306	0.0279	0.0284	0.0208	0.0244	0.0167	0.0061
0.0	0.0	0.0248	0.0213	0.0	0.0	0.0214	0.0302
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001
0.0	0.0	0.0021	0.0011	0.0	0.0	0.0025	0.0009
0.0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0004	0.0	0.0004	0.0006	0.0004	0.0004	0.0006	0.0005
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
